company_name,company_domain,ceo_name,founder_name,contact_email,linkedin_contact,number_of_employees,share_price_current,share_price_5y_ago
Aguilar-Scott,Finance,Dominic Martin,Shane Lawrence,bryan06@thomas-oneal.biz,https://www.linkedin.com/in/aaronthompson,2542,235.85,295.11
"Perez, Campbell and May",Finance,Dylan Williams,Kristy Larsen,youngdaniel@ross.org,https://www.linkedin.com/in/barbara86,7111,465.34,269.95
Chandler PLC,Finance,Joshua Lopez,Jose Leonard,robertespinoza@armstrong-shelton.com,https://www.linkedin.com/in/mary33,8560,354.68,273.47
Collins-Jacobs,Manufacturing,Danielle Montgomery,Tina Silva,cindyjames@palmer-whitaker.com,https://www.linkedin.com/in/ginawilson,2733,349.68,211.53
Combs-Brock,Retail,Mr. Willie Jackson,James Moran,crystal35@carlson-woods.com,https://www.linkedin.com/in/mball,746,76.85,68.0
Moody-Dennis,Finance,Lisa Ford,Fred Williams,russellsylvia@sutton-steele.com,https://www.linkedin.com/in/christian72,5652,156.64,206.28
West Ltd,Information Technology,Frank Lopez,Mary Melton,lisagonzalez@forbes-stephens.biz,https://www.linkedin.com/in/michaelgilbert,389,43.7,26.12
"Rubio, Hernandez and Brooks",Education,James Summers,Denise Johnson,terri85@johnson.org,https://www.linkedin.com/in/desireeturner,7090,305.0,359.34
Thomas and Sons,Artificial Intelligence,Michael Madden,David Davis,alawson@whitehead.com,https://www.linkedin.com/in/stacylloyd,2977,447.59,471.83
"Gray, Pacheco and Thomas",Manufacturing,Michelle Smith,Joe Ross,jessica42@castro.com,https://www.linkedin.com/in/robertoconnor,8626,461.92,544.26
"Bartlett, Myers and Yoder",Artificial Intelligence,Emily Armstrong,Frank Conner,keith80@mitchell-davis.com,https://www.linkedin.com/in/tgutierrez,2755,139.3,197.96
Edwards and Sons,Finance,Joshua Gonzalez,Garrett West,agibson@miller.com,https://www.linkedin.com/in/khuffman,5353,64.85,67.11
Simpson-Day,Finance,Michael Peterson,Steven Franco,joshuarich@cortez.com,https://www.linkedin.com/in/joshua98,9007,81.66,79.87
"Wilson, Stevens and Best",Manufacturing,Candace Dyer,Angela Mccormick,jose03@rodriguez-greene.com,https://www.linkedin.com/in/bellheather,1060,308.58,375.43
Simmons-Steele,Artificial Intelligence,Jonathan Pearson,Raymond Strickland,melaniebrooks@hunter.com,https://www.linkedin.com/in/brian97,9668,5.17,5.37
"Sandoval, Evans and Ross",Human Resources,Dustin Booth,Lucas Hurst,michael53@rodriguez.com,https://www.linkedin.com/in/meredith63,5558,22.1,25.02
Hammond-Hayes,Education,Thomas Gutierrez,Timothy Acosta,peterschristopher@hall.com,https://www.linkedin.com/in/francisronald,5393,274.39,362.46
"Barron, Martinez and Moore",Education,Keith Malone DDS,Justin Phillips,ronaldhensley@white-brown.com,https://www.linkedin.com/in/qmejia,278,7.2,8.07
Hall-Marshall,Information Technology,Paul Boyd MD,Emily Newton,leamber@mitchell-richards.net,https://www.linkedin.com/in/jennifer09,6937,293.82,390.4
"Miller, Henry and Robinson",Healthcare,Gregory Jackson,Troy Caldwell,lsampson@beck.com,https://www.linkedin.com/in/stephaniepoole,9265,157.58,154.11
"Maynard, Hudson and Reed",Manufacturing,Andrew Jackson,Sarah Weber,ojuarez@martinez-rivas.org,https://www.linkedin.com/in/john36,973,40.54,42.92
Jackson-Patterson,Administration,Pamela Mullins,Anthony Johnson,teresazamora@daniels.org,https://www.linkedin.com/in/douglasjordan,5537,226.58,173.68
Khan Ltd,Information Technology,Andrew Santana,Mallory Lowe,bweaver@murphy.org,https://www.linkedin.com/in/kwilliams,7025,210.46,251.72
Rodriguez-Olson,Retail,Krista Smith,Mark Hays,walkerwilliam@hayes.com,https://www.linkedin.com/in/danielwest,6320,154.84,169.45
Brown Inc,Education,David Rice,Leslie Shepherd,qjones@stevens.biz,https://www.linkedin.com/in/sandyrivera,7219,247.18,139.43
Jensen and Sons,Finance,Christopher Hood,Gregory Malone,valeriemendez@bell.com,https://www.linkedin.com/in/bkoch,4259,359.96,320.12
Davila PLC,Education,Jessica Mendez,Latoya Abbott,qbrennan@moore-lloyd.com,https://www.linkedin.com/in/patrickbaker,441,97.41,84.83
Cortez-Blankenship,Automotive,Mr. Benjamin Cook,Melinda Jenkins,smithkeith@graves.com,https://www.linkedin.com/in/garciaerica,1928,350.8,339.79
Rhodes-Randall,Administration,Kenneth Williams,Natalie Johnson,brandon25@hughes-benitez.org,https://www.linkedin.com/in/johnsonpaul,5188,358.41,417.69
"Leonard, Barnes and Sweeney",Administration,Jared Pierce,David Randolph,hjohnson@gregory.biz,https://www.linkedin.com/in/romeroerin,6193,33.02,37.85
"Holland, Lopez and Jones",Information Technology,Kenneth Russell,Ronald Ortiz,bradleyjeffrey@jacobson.com,https://www.linkedin.com/in/goodlaura,4663,461.6,257.1
Brown Ltd,Healthcare,Patrick Howell,Robert French,aliciawhitney@peters.com,https://www.linkedin.com/in/joyceberry,9664,449.3,642.32
Beck-Garcia,Artificial Intelligence,Kevin Garcia,Patrick Fletcher,michael18@castro.com,https://www.linkedin.com/in/casey39,6232,310.75,411.02
"Pennington, Green and Perez",Education,Lisa Cortez,Amy Richardson,erogers@walker.biz,https://www.linkedin.com/in/travis91,1407,71.23,90.11
Blevins LLC,Healthcare,Kyle Moon,Nicholas Powell,johnsantiago@turner-martin.com,https://www.linkedin.com/in/rrasmussen,6185,442.77,609.65
Lopez Group,Information Technology,Melissa Frey,Jordan Maxwell,ronnietorres@cook.net,https://www.linkedin.com/in/angela39,3903,464.5,427.25
Todd-Allison,Automotive,Lance Chen,Mark Thomas,sototodd@mathews-berger.org,https://www.linkedin.com/in/dominiquebeasley,4454,372.35,371.28
"Walker, Osborn and Ewing",Retail,Valerie White,Susan Mayo,marcus22@massey-harvey.info,https://www.linkedin.com/in/dawn24,3535,473.46,412.62
Bennett and Sons,Artificial Intelligence,Bradley Jackson,Greg Riley,rachel65@haley.com,https://www.linkedin.com/in/thomascarter,3657,152.19,153.97
"French, Rose and Herrera",Healthcare,Matthew Mendez,Brian Kline,jessicayork@black.com,https://www.linkedin.com/in/saraacevedo,5505,324.66,377.54
"Hernandez, Quinn and Martinez",Manufacturing,Amanda Douglas,Veronica George,adennis@poole-gallagher.com,https://www.linkedin.com/in/mooreerin,5287,425.56,510.08
Madden and Sons,Education,Allison Morris,Richard Jones,lisa79@morales.com,https://www.linkedin.com/in/oford,1742,326.33,164.52
Orr-Williams,Healthcare,Jacqueline Brown,David Carroll,cleon@jarvis.com,https://www.linkedin.com/in/candersen,1935,168.2,230.2
Franco-Smith,Information Technology,Steven Oconnor,Alex Newton,ritterpenny@leach.com,https://www.linkedin.com/in/cochrankyle,5104,437.16,330.11
"Wagner, Aguirre and Miller",Administration,Sarah Hall,Alyssa Thompson,knappfranklin@dennis.com,https://www.linkedin.com/in/emaldonado,2267,439.54,396.4
"Rose, Perry and Schultz",Finance,Angela Hill,Lisa Castaneda,yangjamie@robinson-carter.org,https://www.linkedin.com/in/esmith,4029,440.18,396.83
"Tapia, Williams and Wright",Information Technology,Colin Ray,Penny Arnold,sarah69@rose-garrett.com,https://www.linkedin.com/in/johnsoncassandra,2502,17.57,20.25
Bridges-Craig,Administration,Gina Kim,Paul Hawkins,maria95@koch-knight.org,https://www.linkedin.com/in/ihuang,6073,43.46,34.23
Ellis-Nicholson,Human Resources,Tammy Lane,Caitlin Jefferson,matthewmcdaniel@thomas-walton.biz,https://www.linkedin.com/in/colemanmichael,5286,7.0,6.19
Riddle Group,Human Resources,David Russo,Nicole Howell,sarahlynch@waller-lopez.org,https://www.linkedin.com/in/alex64,8315,87.9,45.06
Evans-Jordan,Automotive,Jeffrey Wolfe,Crystal Gray MD,duranmelissa@gill-cross.net,https://www.linkedin.com/in/washingtonbarbara,703,373.69,552.49
Fitzpatrick-Ortiz,Finance,David Martinez,James Gomez,vfinley@flores-hicks.com,https://www.linkedin.com/in/wagnerrobin,8232,317.73,333.92
Marshall-Golden,Healthcare,Bruce Moore,James Kirk,deborah40@hahn-gonzalez.com,https://www.linkedin.com/in/michellecantrell,4286,399.44,415.74
Adams Inc,Retail,Ashley Rivera,Michael Lopez,luisparks@olsen-abbott.net,https://www.linkedin.com/in/misty83,2034,221.06,238.19
Perez-Barton,Retail,Helen Lawrence,Brandon Garcia,durhamwendy@hall.com,https://www.linkedin.com/in/bryanhall,8985,270.91,326.38
"Watson, Lawrence and Torres",Education,Chad Ponce,Christina Gomez,isullivan@johnson-smith.com,https://www.linkedin.com/in/catherine87,8741,175.99,155.96
Mcintosh LLC,Administration,Susan Barnes,Tara Ayala,hunter66@dennis.biz,https://www.linkedin.com/in/kimberly33,2813,455.6,400.38
Johnson-Barber,Manufacturing,Michael Garcia,James Perry,phillipsjeremy@carrillo.org,https://www.linkedin.com/in/alexandersexton,9635,286.12,380.5
"Romero, Smith and Anderson",Education,Carlos Banks,Gary Bennett,amy02@jones.com,https://www.linkedin.com/in/opeters,7640,86.11,46.0
"Moore, Vazquez and Cameron",Retail,Megan Matthews,William Mathis,jacquelinesantos@bennett.com,https://www.linkedin.com/in/robertstheresa,8823,258.08,311.01
"Bailey, Boone and Miller",Artificial Intelligence,Kevin Nelson,Rachel Hill,michaeljohnson@white.com,https://www.linkedin.com/in/david06,1172,323.1,444.88
Bowman Group,Finance,Craig Nelson,Frank Moss,pamreese@pineda-jennings.com,https://www.linkedin.com/in/phillipgray,9697,474.01,353.58
Garrison-Clark,Automotive,Cynthia Williams,Dana Beard,kristen76@moody.info,https://www.linkedin.com/in/rchung,1386,225.87,249.17
Brown PLC,Human Resources,Vanessa Matthews,Katherine Cobb,rodriguezjustin@kelly.net,https://www.linkedin.com/in/justinpeters,183,35.42,42.1
Terrell and Sons,Manufacturing,Alan Smith,Tiffany Munoz,wilsonbrooke@ellison.com,https://www.linkedin.com/in/wmedina,1480,419.84,217.7
Moore Inc,Education,Luke Becker,Brandon Suarez,steventorres@collins-johnson.com,https://www.linkedin.com/in/beckjennifer,9680,476.03,545.47
"Taylor, Garcia and Parker",Healthcare,Christian Cole,Monica Farrell,pgreen@murphy-garcia.org,https://www.linkedin.com/in/collinlewis,6279,459.96,672.55
Burke LLC,Manufacturing,Joseph Frazier,Linda Smith,bowmankara@schroeder.com,https://www.linkedin.com/in/evansjeffrey,8101,377.3,277.53
"Bowen, Andrade and Walker",Healthcare,Mr. Roberto Nelson,William Goodwin,michaelafowler@jenkins.com,https://www.linkedin.com/in/ugonzales,2170,423.55,606.55
"Gill, Kaiser and Moreno",Education,Catherine Jones,Michelle Miller,zachary17@reynolds.org,https://www.linkedin.com/in/dennis97,219,274.79,290.39
Perkins-Thompson,Retail,Gary Lawrence,Maurice Parker,kevinreynolds@ramirez.com,https://www.linkedin.com/in/ggood,6654,186.43,156.56
"Rogers, Kidd and Ruiz",Automotive,Sandra Johnson,Alyssa Lozano,dalton02@mitchell-caldwell.com,https://www.linkedin.com/in/suzanne94,5822,269.27,359.84
Savage-Stout,Artificial Intelligence,Claire Lawson,Anthony Jackson,hartphilip@johnston.com,https://www.linkedin.com/in/rogersashley,1289,217.83,257.73
Johnson-Lucero,Artificial Intelligence,Maria Jones,Antonio Garcia,susanhill@shaffer.net,https://www.linkedin.com/in/matthew14,3012,354.27,335.71
Davis-Freeman,Finance,Gary Lewis,Matthew Reed,watersalexandra@johnson.org,https://www.linkedin.com/in/drobertson,2826,306.39,193.37
"Miles, Sanders and Webb",Artificial Intelligence,Theresa Contreras,Brian Gonzalez III,cathy82@dawson.com,https://www.linkedin.com/in/elizabethaguirre,3431,51.24,49.75
Smith-Lester,Finance,Jeffrey Green,Elizabeth Allen,annasandoval@ray.biz,https://www.linkedin.com/in/swansonnatasha,7468,348.56,459.99
Foley-Cunningham,Retail,Jeffrey Blake,Daniel Carson,frichards@williams-smith.com,https://www.linkedin.com/in/edwardbuckley,4419,278.84,295.93
Edwards-Allen,Automotive,Edgar Snyder,Charles Evans,christie70@mccormick.com,https://www.linkedin.com/in/blakedunn,9056,122.47,153.04
Burns-Sullivan,Human Resources,Crystal Hart,Arthur Wright,danielrandy@roberts-simon.org,https://www.linkedin.com/in/luke81,5884,232.62,314.3
"Cooper, Davis and Walker",Education,Jessica Orozco,Sharon Mcbride,walterstina@wilson.com,https://www.linkedin.com/in/james33,7909,65.67,46.72
Figueroa Group,Administration,Dylan Garcia,Brenda Ballard,martinezjessica@mclean.com,https://www.linkedin.com/in/rosalesmaria,458,315.84,436.83
"Martinez, Chang and Cummings",Human Resources,Christopher Tran,Stacey Munoz,perrycolleen@nichols.com,https://www.linkedin.com/in/williamsaaron,9483,178.1,255.52
"Oliver, Padilla and Anderson",Manufacturing,Laura Smith,William Brooks,uward@coleman.com,https://www.linkedin.com/in/terri03,9115,173.05,125.35
Solis Group,Automotive,John Hughes,Mary Kirk,dawn97@saunders.com,https://www.linkedin.com/in/rachel93,5052,338.5,367.92
"Hughes, Smith and Jones",Manufacturing,Isaac Kirk,Cheryl Gonzales,daniellequinn@baker.com,https://www.linkedin.com/in/whitejimmy,3770,348.52,388.27
"Chan, Vaughan and Becker",Retail,Leah Chang,Scott Marshall,davidsonnicole@duran.com,https://www.linkedin.com/in/bprince,6374,228.22,175.79
"Myers, Moore and Lopez",Automotive,Cynthia Stewart,Robert Olson,itanner@barker.com,https://www.linkedin.com/in/austin47,1173,334.3,489.49
Colon and Sons,Automotive,Crystal Salazar,Timothy Anderson,pamela80@martin.org,https://www.linkedin.com/in/estafford,4360,489.88,411.7
"Armstrong, Roth and Lee",Automotive,George Rios,James Smith,gravesbryce@jimenez.info,https://www.linkedin.com/in/susan25,3940,157.34,118.97
"Acosta, Lee and Cantrell",Administration,Kathy Bryant,Desiree Guzman,llopez@johnson-mora.net,https://www.linkedin.com/in/zayala,2615,421.84,591.6
"Flores, Lewis and Powell",Education,Amanda Matthews,Brenda Acosta,sandra88@duran.com,https://www.linkedin.com/in/llambert,703,260.45,170.12
"Montoya, Kelley and Little",Human Resources,Robert Li,David Dennis,lunamelanie@horne.biz,https://www.linkedin.com/in/hendersontimothy,4206,448.41,322.48
Mayer-Mcdonald,Retail,William Frye DDS,April Yates,kimberlybell@franklin-smith.com,https://www.linkedin.com/in/emily31,7459,458.69,525.86
"Tate, Lee and Joseph",Retail,James Butler,Elizabeth Wallace,qjackson@vincent-mata.com,https://www.linkedin.com/in/clucas,2055,10.79,9.18
Walters-Thompson,Manufacturing,Heidi Martin,Anthony Hall,staceygray@gallagher-lozano.com,https://www.linkedin.com/in/vlane,5000,292.23,376.25
Newman-Green,Manufacturing,Leah Sharp,Angelica Frank,diana92@ortiz-juarez.info,https://www.linkedin.com/in/pearsonmarissa,4509,104.69,134.23
"Watson, Fisher and Myers",Automotive,Michael Wu,Gina Edwards,jonathan72@garcia.com,https://www.linkedin.com/in/downstracy,2928,135.4,180.51
Johnson-Yang,Information Technology,Patrick Johnson PhD,Eric Shepherd,xbrown@allen.org,https://www.linkedin.com/in/saunderstyler,4198,173.52,155.68
"Zimmerman, Walker and Mclaughlin",Administration,Melissa Rodriguez,Dawn Nichols,jacobadams@cervantes.com,https://www.linkedin.com/in/robert01,8366,130.32,169.87
Lee and Sons,Human Resources,Jessica Mcdonald,Rodney Alexander,ortizlance@mcmillan.biz,https://www.linkedin.com/in/kathleen32,2801,350.15,492.27
Stone-Stanton,Retail,Caitlin Kaiser,Lindsey Wise,wperkins@castillo-bennett.biz,https://www.linkedin.com/in/ujones,5109,486.51,409.83
Hoover Inc,Artificial Intelligence,Daniel Walker,Patrick Young,kjones@conway-garcia.net,https://www.linkedin.com/in/rnguyen,8465,278.4,347.92
"Hogan, Cruz and Davis",Retail,Richard Kane,Wesley Adams,allisonandersen@scott.com,https://www.linkedin.com/in/richardsonlauren,5651,240.67,333.3
"Key, White and Schwartz",Manufacturing,Isaac Johnson,Shannon Kelly,xpollard@mckinney-smith.com,https://www.linkedin.com/in/phillip90,9585,318.17,236.36
"Rodriguez, Jones and Rodriguez",Finance,Mary Lee,Brandi White,craigbutler@kim-chavez.net,https://www.linkedin.com/in/david43,442,227.69,233.9
Mason-Strickland,Human Resources,Daniel Allen,Cheryl Frederick,alutz@patton.net,https://www.linkedin.com/in/nortonmatthew,6923,433.45,495.94
"Foster, Wood and Ritter",Manufacturing,Shannon Sparks,Cheryl Hall,bethany17@pratt-woodard.com,https://www.linkedin.com/in/meganbrown,3212,29.52,26.75
"Rivera, Mack and Browning",Artificial Intelligence,Tamara Andrews,Jonathan Roy,brendamiller@harris.com,https://www.linkedin.com/in/dfitzpatrick,4261,158.93,209.04
Turner Ltd,Healthcare,Hunter Copeland,Larry Joseph,thomaswilkinson@martin.com,https://www.linkedin.com/in/stevenschristian,9665,337.36,175.35
Mendez-Armstrong,Education,Judy Shaw,Ashley Hanson,zachary05@garcia-barajas.org,https://www.linkedin.com/in/walterparker,9133,42.42,59.52
Rangel LLC,Manufacturing,Hannah Steele,Sherry Morales,patriciaperry@gomez.com,https://www.linkedin.com/in/eric90,614,458.26,484.64
Parker LLC,Retail,Douglas Dennis,Ashley Evans,markgarcia@mitchell.net,https://www.linkedin.com/in/qkelley,5272,292.81,266.84
Ruiz-Odom,Administration,Michael Schroeder,Connie Webb,tskinner@joseph.org,https://www.linkedin.com/in/wcastro,8153,309.88,215.58
"Cruz, Alexander and Parrish",Human Resources,Joseph Washington,Stephanie Bartlett,joseph43@burton.com,https://www.linkedin.com/in/stephanieklein,5834,58.19,57.76
Atkins Group,Retail,Melissa Huang,Kristen Castro,mwilson@trujillo-terry.biz,https://www.linkedin.com/in/heather58,3125,383.39,462.04
Marshall LLC,Healthcare,Mary Summers,Paula Edwards,bennettjoshua@rivera.com,https://www.linkedin.com/in/zacharyibarra,5341,9.97,8.39
"Graham, Campos and Allen",Automotive,Cody Bradford,Amy Phillips,george48@anderson.com,https://www.linkedin.com/in/vbrown,1667,122.92,91.7
Lee-King,Retail,Jose Calderon,Troy Silva,evansjennifer@miles.com,https://www.linkedin.com/in/ygonzalez,628,312.39,404.62
Fowler-Boone,Information Technology,Nancy Herrera,Christine Smith,andrewscourtney@fisher.com,https://www.linkedin.com/in/smithbrian,8323,377.35,506.55
Alvarado-Nicholson,Human Resources,Sean Hunt,Katherine Singleton,alison58@wilkerson.biz,https://www.linkedin.com/in/hcole,7805,24.57,30.43
Moore PLC,Education,Gregory Jensen,Michael Roberts,ssimon@rios-dixon.org,https://www.linkedin.com/in/kbrown,1757,177.6,199.69
"Thomas, Gomez and Horton",Administration,Linda Anderson,Ryan Johnson,orussell@adams-lopez.com,https://www.linkedin.com/in/amy26,2909,231.24,277.12
Brown-Ford,Information Technology,David Drake,Daniel Fernandez,tbrock@bowen.com,https://www.linkedin.com/in/austinleslie,1620,445.14,565.94
Robinson-Key,Retail,David Jones,Seth Adams,pgarcia@butler.com,https://www.linkedin.com/in/katiewilliams,2621,297.23,382.57
Cortez-Pittman,Artificial Intelligence,Lacey Clements,Richard Stone,jasmine37@mcdowell-ferrell.biz,https://www.linkedin.com/in/gwendolynperry,8203,412.03,300.64
Smith-Moore,Administration,Kathy Zamora,Sherri Thompson,wstephens@williams-adkins.com,https://www.linkedin.com/in/jacksondenise,6675,304.54,398.83
"Silva, Peck and Todd",Information Technology,Chad Horton,Christopher Jones,icamacho@jones.com,https://www.linkedin.com/in/bmartinez,7675,416.14,536.11
Russell-Castaneda,Retail,Courtney Lawrence,Teresa Jones,sherry02@payne-young.com,https://www.linkedin.com/in/brittneyjohnson,2434,318.99,222.98
Collins-Fitzgerald,Education,Cynthia Wilson,Sarah Wilcox,harrisamanda@zimmerman-carter.com,https://www.linkedin.com/in/kaylaterry,3759,69.45,50.34
Miller Ltd,Information Technology,Mr. David Madden II,Alexander Phillips,tammystevens@barajas.com,https://www.linkedin.com/in/jennifer31,6915,415.64,211.81
"Salas, Perry and Simon",Information Technology,Robert Russell,Patrick Gibson,johnsonkimberly@olson.info,https://www.linkedin.com/in/ejohnson,6404,348.3,484.22
Peterson-Munoz,Education,Jessica Ortiz,Misty Bennett,sherrymoore@brooks.com,https://www.linkedin.com/in/awarner,6671,494.41,464.29
Baker-Castillo,Manufacturing,Jeremiah Collins,David Drake,ilong@flowers-davis.biz,https://www.linkedin.com/in/klloyd,3679,165.48,166.35
Gonzalez Ltd,Automotive,Jennifer Byrd,Jeremy Barrett,tolson@white.com,https://www.linkedin.com/in/michael59,5882,25.12,30.73
White and Sons,Healthcare,Amber Maldonado,Clinton Washington MD,upena@roth-king.com,https://www.linkedin.com/in/adamkim,1446,182.1,180.92
Faulkner-Gregory,Artificial Intelligence,Henry Rivers,Jennifer Lang,kim31@day.com,https://www.linkedin.com/in/ryancordova,2176,356.6,381.9
Guerrero LLC,Retail,William Jackson,Austin Hess,hickscarrie@castillo-campbell.com,https://www.linkedin.com/in/linda82,5262,62.76,90.48
"Hays, Murphy and Fowler",Administration,Pamela Wilcox,Sonia Pitts,austinrivera@short.org,https://www.linkedin.com/in/dorseyjennifer,1093,71.46,46.79
Butler-Barron,Administration,Lauren Vang,David Graves,riverateresa@carpenter-roberts.com,https://www.linkedin.com/in/peckbrandon,7172,123.46,159.6
Hess LLC,Human Resources,Charles Schwartz,Jill Stephens,bbennett@haynes.com,https://www.linkedin.com/in/matthew32,9668,187.01,226.57
Barrett Inc,Education,Elizabeth Roberts,Joseph Frazier,dorothymcknight@gray.com,https://www.linkedin.com/in/kevinpeters,8692,235.7,224.87
Martin Group,Retail,Lauren Smith,Sarah Gibson,brownmary@hodge.com,https://www.linkedin.com/in/sarahmoore,9158,129.7,175.83
Jackson-Orr,Automotive,Alexandra Baker,Edward Elliott,ibaker@duke.com,https://www.linkedin.com/in/ysmith,5085,60.92,80.86
Wyatt Group,Retail,Larry Price,Eric Ford,john96@pittman-brooks.com,https://www.linkedin.com/in/lesliemullins,6660,146.32,93.09
Colon-Mullins,Administration,Melissa Ellis,Dr. Philip Dixon,anthonyrogers@fuller-haynes.info,https://www.linkedin.com/in/campbelljennifer,5778,144.92,165.83
Smith-Lewis,Automotive,Jennifer Roberts,Valerie Castillo MD,rcole@johnson-moore.com,https://www.linkedin.com/in/westjulie,1831,184.74,108.91
Hart PLC,Healthcare,William Lang,Theresa Johnson,elijahaguirre@burke.info,https://www.linkedin.com/in/kevinsantana,3304,9.44,8.86
House-Smith,Education,Peter Johnson,Rita Maxwell,coxkaren@salazar.net,https://www.linkedin.com/in/linda51,9385,369.76,434.22
Fisher and Sons,Information Technology,Brandon Forbes,Debra Baker,cmontgomery@anderson.com,https://www.linkedin.com/in/philipshaw,4912,350.54,510.1
"Smith, Pope and Glover",Retail,Wesley Keller,Joseph Gonzales,brios@norton.biz,https://www.linkedin.com/in/john81,4396,425.46,531.03
"Mack, Hall and Moran",Manufacturing,Danielle Palmer,David Mathis,ogallagher@phillips-jones.com,https://www.linkedin.com/in/hollandheidi,8450,447.96,558.72
"Harrington, Moses and Phillips",Automotive,Shannon Lawrence,Cheryl Sims,floreskristi@conner.com,https://www.linkedin.com/in/nicholaslucero,1057,237.12,236.88
Miller-Grant,Healthcare,Gina Maldonado,Amanda Richardson,samantha96@ramsey-sampson.com,https://www.linkedin.com/in/nicole22,3074,371.28,488.41
Hernandez Group,Administration,Paul Williams,Jamie Smith,jessica79@simpson.net,https://www.linkedin.com/in/gregory20,463,476.78,667.57
Robinson Ltd,Education,Todd Rose,Daniel Jimenez,elizabethbenitez@brown-odom.info,https://www.linkedin.com/in/johnbailey,3398,477.93,273.2
Kaufman PLC,Automotive,Julia Willis,Stacey Kelly,smithrachel@kidd.com,https://www.linkedin.com/in/gregory41,1218,323.11,384.19
Leblanc Group,Artificial Intelligence,Angelica West,Sara Hernandez,ocook@lewis-campbell.com,https://www.linkedin.com/in/rachelgutierrez,3183,402.1,344.89
Smith-Greene,Artificial Intelligence,Haley Aguirre,James Matthews,jamesstewart@keller.net,https://www.linkedin.com/in/bhall,9417,185.94,226.41
Silva Inc,Human Resources,Donna Daniels,Mr. Lawrence Taylor,pjohnson@burke-gillespie.com,https://www.linkedin.com/in/melissa10,3121,66.74,47.35
Daniels Inc,Automotive,Jasmine Brooks,Molly Curry,ryan97@marsh.info,https://www.linkedin.com/in/jonesdarrell,3741,379.78,375.78
Alexander-Allen,Education,Natalie Quinn,Robert White,cummingsanna@white.com,https://www.linkedin.com/in/daltondenise,7173,299.63,244.32
Molina LLC,Manufacturing,Jessica Burton,Robert Hartman,carpenterevelyn@hunt-ramos.net,https://www.linkedin.com/in/colleen82,77,7.44,8.4
"Palmer, Rodriguez and Jackson",Information Technology,Tammy Knapp,Maureen Maynard,sperez@hall-dawson.com,https://www.linkedin.com/in/nkeith,43,351.34,320.71
Adams-Shelton,Human Resources,Amanda Meyer,Christian Rush,scott59@mendez.org,https://www.linkedin.com/in/lewismark,297,121.72,127.95
Ward Inc,Artificial Intelligence,Veronica Schmidt,Joe Shaw,james65@moore-cobb.com,https://www.linkedin.com/in/kristen73,8175,411.82,208.98
Vang-Thomas,Artificial Intelligence,James Irwin,Dwayne Jarvis,justin12@wallace-hall.org,https://www.linkedin.com/in/virginiahatfield,455,187.47,108.95
Mathis PLC,Healthcare,Kimberly Fuller,Carlos Chavez,lmccoy@boyle.com,https://www.linkedin.com/in/cvazquez,6302,462.98,273.5
Gilbert and Sons,Artificial Intelligence,Zachary Mercer,Misty Walls,tgarcia@sullivan-proctor.com,https://www.linkedin.com/in/melaniefreeman,4668,11.01,13.23
Lin and Sons,Automotive,Emily Lowe,Joshua Jacobson,zmartin@flores-osborne.org,https://www.linkedin.com/in/rushmichael,9027,372.05,484.83
Clayton-Moore,Automotive,Joanna Ayala,Sarah Ortiz,willie22@aguilar-aguilar.com,https://www.linkedin.com/in/robertskeith,9325,470.52,514.8
Hardin-Curry,Human Resources,Christopher Livingston,Thomas Randall,igreer@fox.com,https://www.linkedin.com/in/murraymonica,3666,408.92,266.1
Jones-Smith,Retail,Jessica Wong,Nathan Benson,vwilson@bates-hart.info,https://www.linkedin.com/in/shannon39,1292,209.67,130.04
"Summers, Ferguson and Jackson",Education,Zachary Small,Jeanette Ellis,ytaylor@moore.net,https://www.linkedin.com/in/mmelendez,1976,70.44,50.72
Sullivan LLC,Education,Teresa Scott,Mary Espinoza,kaitlin47@rhodes.com,https://www.linkedin.com/in/ehahn,4730,294.39,408.8
Brown LLC,Finance,Laura Medina,Morgan Perez,douglasmartinez@anderson-king.com,https://www.linkedin.com/in/laura63,9821,497.99,697.19
Bowman-Yang,Education,Beth Aguilar,Michael Clark,smithmark@rojas.com,https://www.linkedin.com/in/jennifer98,7608,428.54,277.51
Wall-Schmidt,Education,Barbara Mitchell,Thomas Nichols,xanderson@fowler.org,https://www.linkedin.com/in/amandakelley,5347,193.87,135.13
"Cruz, Jennings and Gomez",Artificial Intelligence,Carla Guzman,Emily Shaw,ocollins@rios-williams.info,https://www.linkedin.com/in/mooremark,7081,51.71,32.15
Owens Group,Retail,Robert Lawrence,Scott Heath,jeremy11@bates.com,https://www.linkedin.com/in/trobinson,6369,248.24,293.18
Brown-Hanson,Finance,Steven Ortiz,Kimberly Hanson,erik75@ray-james.org,https://www.linkedin.com/in/calebschaefer,4749,329.23,336.39
"Johnson, Carr and Higgins",Finance,Christine Holmes,Yolanda Rodriguez,tamara36@poole.com,https://www.linkedin.com/in/pollardjames,1464,428.07,251.92
Steele-Davidson,Information Technology,Michelle Mckee,Jason Gordon,coxtyler@todd.com,https://www.linkedin.com/in/john45,5508,497.18,725.38
"Gibson, Greene and Wise",Artificial Intelligence,David Johnson,David Boyer,jenniferstanton@lutz.com,https://www.linkedin.com/in/perezeric,279,474.25,372.19
Clay Ltd,Human Resources,Robert Hobbs,Amber Knight,mckenzieamber@mcgee-bowers.com,https://www.linkedin.com/in/frose,1620,271.87,232.75
